tableName	attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
CalibrationDO	CalibrationTime	Time of calibration	Date		YYYY-MM-DD		
CalibrationDO	CalibrationDate	Date of calibration	Date		HH:MM:SS		
CalibrationDO	VisitDate	Time that the monitoring occurred	Date		YYYY-MM-DD		
CalibrationDO	VisitTime	Date that the monitoring occured	Date		HH:MM:SS		
CalibrationDO	PreCalibrationReading_percent	Pre-calibration dissolved oxygen reading in percent	numeric	percent			
CalibrationDO	PreCalibrationTemperature_C	Pre-calibration temperature in C	numeric	celsius			
CalibrationDO	PostCalibrationReading_percent	Post-calibration dissolved oxygen reading in percent	numeric	percent			
CalibrationDO	PostCalibrationTemperature_C	Post-calibration temperature in C	numeric	celsius			
CalibrationDO	BarometricPressure_mmHg	Barometric Pressure in mmHg	numeric	millimetersOfMercury			
CalibrationDO	DOInstrument	Name of water quality instrument (instrument being calibrated)	character				
CalibrationDO	Notes	Notes about this calibration	character				
CalibrationDO	Park	Four letter park code	character				
CalibrationDO	SiteCode	Unique alphanumeric site code	character				
CalibrationDO	SiteName	Descriptive name of the site	character				
CalibrationDO	FieldSeason	Field Season is typically the Water Year defined as Oct. 1st - Sept. 30th	character				
CalibrationDO	VisitType	"Purpose of visit: Primary, Replicate, Training, Calibration, Auxilliary, Unknown"	character				
CalibrationpH	CalibrationTime	Time of calibration	Date		YYYY-MM-DD		
CalibrationpH	CalibrationDate	Date of calibration	Date		HH:MM:SS		
CalibrationpH	VisitTime	Time that the monitoring occurred	Date		YYYY-MM-DD		
CalibrationpH	VisitDate	Date that the monitoring occured	Date		HH:MM:SS		
CalibrationpH	StandardValue_pH	Standard value of pH solution	numeric	dimensionless			
CalibrationpH	TemperatureCorrectedStd_pH	Temperature-corrected standard value of pH solution (only applies to some instruments)	numeric	dimensionless			
CalibrationpH	PreCalibrationReading_pH	Pre-calibration pH value	numeric	dimensionless			
CalibrationpH	PreCalibrationTemperature_C	Pre-calibration temperature in C	numeric	celsius			
CalibrationpH	PostCalibrationReading_pH	Post-calibration pH value	numeric	dimensionless			
CalibrationpH	PostCalibrationTemperature_C	Post-calibration temperature in C	numeric	dimensionless			
CalibrationpH	pHInstrument	Name of water quality instrument (instrument being calibrated)	character				
CalibrationpH	Notes	Notes about this calibration	character				
CalibrationpH	Park	Four letter park code	character				
CalibrationpH	SiteCode	Unique alphanumeric site code	character				
CalibrationpH	SiteName	Descriptive name of the site	character				
CalibrationpH	FieldSeason	Field Season is typically the Water Year defined as Oct. 1st - Sept. 30th	character				
CalibrationpH	VisitType	"Purpose of visit: Primary, Replicate, Training, Calibration, Auxillary, Unknown"	character				
CalibrationSpCond	CalibrationDate	Date of calibration	Date		YYYY-MM-DD		
CalibrationSpCond	CalibrationTime	Time of calibration	Date		HH:MM:SS		
CalibrationSpCond	VisitTime	Time that the monitoring occurred	Date		YYYY-MM-DD		
CalibrationSpCond	VisitDate	Date that the monitoring occured	Date		HH:MM:SS		
CalibrationSpCond	StandardValue_microS_per_cm	Standard value of Specific Conductivity solution in microsiemens per cm	numeric	microsiemensPerCentimeter			
CalibrationSpCond	PreCalibrationReading_microS_per_cm	Pre-calibration Specific Conductivity reading in microsiemens per cm	numeric	microsiemensPerCentimeter			
CalibrationSpCond	PostCalibrationReading_microS_per_cm	Post-calibration Specific Conductivity reading in microsiemens per cm	numeric	microsiemensPerCentimeter			
CalibrationSpCond	SpCondInstrument	Name of water quality instrument (instrument being calibrated)	character				
CalibrationSpCond	Notes	Notes about this calibration	character				
CalibrationSpCond	Park	Four letter park code	character				
CalibrationSpCond	SiteCode	Unique alphanumeric site code	character				
CalibrationSpCond	SiteName	Descriptive name of the site	character				
CalibrationSpCond	FieldSeason	Field Season is typically the Water Year defined as Oct. 1st - Sept. 30th	character				
CalibrationSpCond	VisitType	"Purpose of visit: Primary, Replicate, Training, Calibration, Auxillary, Unknown"	character				
DischargeEstimated	Park	Four letter park code	character				
DischargeEstimated	SiteCode	Unique alphanumeric site code	character				
DischargeEstimated	SiteName	Descriptive name of the site	character				
DischargeEstimated	VisitDate	Date that the monitoring occured	Date		YYYY-MM-DD		
DischargeEstimated	FieldSeason	Field Season is typically the Water Year defined as Oct. 1st - Sept. 30th	character				
DischargeEstimated	FlowCondition	Flow condition at time of visit	character				
DischargeEstimated	DischargeClass_L_per_s	Estimated discharge range in liters per second	character				
DischargeEstimated	VisitType	"Purpose of visit: Primary, Replicate, Training, Calibration, Auxillary, Unknown"	character				
DischargeEstimated	DPL	"Level of data processing applied to this data [Raw, Provisional, Accepted, Certified]"	character				
DischargeFlowCondition	Park	Four letter park code	character				
DischargeFlowCondition	SiteCode	Unique alphanumeric site code	character				
DischargeFlowCondition	SiteName	Descriptive name of the site	character				
DischargeFlowCondition	VisitDate	Date that the monitoring occured	Date		YYYY-MM-DD		
DischargeFlowCondition	FieldSeason	Field Season is typically the Water Year defined as Oct. 1st - Sept. 30th	character				
DischargeFlowCondition	FlowCondition	Flow condition at time of visit	character				
DischargeFlowCondition	ModificationType	Type of modification to natural spring flow	character				
DischargeFlowCondition	SpringbrookType	Short code/abbreviation for the type of springbrook	character				
DischargeFlowCondition	SringbrookLengthFlag	Indicates whether springbrook length is greater than reported length	character				
DischargeFlowCondition	SpringbrookLength_m	Length of springbrook in meters	numeric	meter			
DischargeFlowCondition	SpringbrookWidth_m	Width of springbrook in meters	numeric	meter			
DischargeFlowCondition	VisitType	Indicates whether discontinuous springbrook length is greater than reported length	character				
DischargeFlowCondition	Notes	Additional Notes about discharge flow condition at this location	character				
DischargeFlowCondition	DPL	"Level of data processing applied to this data [Raw, Provisional, Accepted, Certified]"	character				
DischargeFlowCondition	SpringbrookNotes	Notes about the springbrook channel characteristics	character				
DischargeVolumetric	Park	Four letter park code	character				
DischargeVolumetric	SiteCode	Unique alphanumeric site code	character				
DischargeVolumetric	SiteName	Descriptive name of the site	character				
