attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
CalibrationTime	Time of calibration	character	NA	YYYY-MM-DD	Empty string	Not applicable or data not collected
CalibrationDate	Date of calibration	Date	NA	HH:MM:SS	Empty string	Not applicable or data not collected
VisitDate	Time that the monitoring occurred	Date	NA	YYYY-MM-DD	Empty string	Not applicable or data not collected
VisitTime	Date that the monitoring occured	NA	NA	HH:MM:SS	Empty string	Not applicable or data not collected
PreCalibrationReading_percent	Pre-calibration dissolved oxygen reading in percent	numeric	percent	NA	Empty string	Not applicable or data not collected
PreCalibrationTemperature_C	Pre-calibration temperature in C	numeric	celsius	NA	Empty string	Not applicable or data not collected
PostCalibrationReading_percent	Post-calibration dissolved oxygen reading in percent	numeric	percent	NA	Empty string	Not applicable or data not collected
PostCalibrationTemperature_C	Post-calibration temperature in C	numeric	celsius	NA	Empty string	Not applicable or data not collected
BarometricPressure_mmHg	Barometric Pressure in mmHg	numeric	millimetersOfMercury	NA	Empty string	Not applicable or data not collected
DOInstrument	Name of water quality instrument (instrument being calibrated)	character	NA	NA	Empty string	Not applicable or data not collected
Notes	Notes about this calibration	character	NA	NA	Empty string	Not applicable or data not collected
Park	Four letter park code	character	NA	NA	Empty string	Not applicable or data not collected
SiteCode	Unique alphanumeric site code	character	NA	NA	Empty string	Not applicable or data not collected
SiteName	Descriptive name of the site	character	NA	NA	Empty string	Not applicable or data not collected
FieldSeason	Field Season is typically the Water Year defined as Oct. 1st - Sept. 30th	character	NA	NA	Empty string	Not applicable or data not collected
VisitType	Purpose of visit: Primary, Replicate, Training, Calibration, Auxilliary, Unknown	character	NA	NA	Empty string	Not applicable or data not collected
