attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
Park	Four letter park code	character	NA	NA	Empty string	Not applicable or data not collected
SiteCode	Unique alphanumeric site code	character	NA	NA	Empty string	Not applicable or data not collected
SiteName	Descriptive name of the site	character	NA	NA	Empty string	Not applicable or data not collected
VisitDate	Date that the monitoring occured	Date	NA	YYYY-MM-DD	Empty string	Not applicable or data not collected
FieldSeason	Field Season is typically the Water Year defined as Oct. 1st - Sept. 30th	character	NA	NA	Empty string	Not applicable or data not collected
Roads	Road disturbance percent class from lookup.DisturbanceClass	character	NA	NA	Empty string	Not applicable or data not collected
HumanUse	Human use disturbance percent class from lookup.DisturbanceClass	character	NA	NA	Empty string	Not applicable or data not collected
PlantManagement	Plant management disturbance percent class from lookup.DisturbanceClass	character	NA	NA	Empty string	Not applicable or data not collected
HikingTrails	Hiking trail disturbance percent class from lookup.DisturbanceClass	character	NA	NA	Empty string	Not applicable or data not collected
Livestock	Livestock disturbance percent class from lookup.DisturbanceClass	character	NA	NA	Empty string	Not applicable or data not collected
OtherAnthropogenic	Other anthropogenic disturbance percent class from lookup.DisturbanceClass	character	NA	NA	Empty string	Not applicable or data not collected
Fire	Fire disturbance percent class from lookup.DisturbanceClass	character	NA	NA	Empty string	Not applicable or data not collected
Flooding	Flooding disturbance percent class from lookup.DisturbanceClass	character	NA	NA	Empty string	Not applicable or data not collected
Wildlife	Wildlife disturbance percent class from lookup.DisturbanceClass	character	NA	NA	Empty string	Not applicable or data not collected
OtherNatural	Other natural disturbance percent class from lookup.DisturbanceClass	character	NA	NA	Empty string	Not applicable or data not collected
Overall	Overall disturbance percent class from lookup.DisturbanceClass	character	NA	NA	Empty string	Not applicable or data not collected
Notes	Additional notes about disturbance at this location	character	NA	NA	Empty string	Not applicable or data not collected
VisitType	Purpose of visit: Primary, Replicate, Training, Calibration, Auxillary, Unknown	character	NA	NA	Empty string	Not applicable or data not collected
FlowModificationStatus	Indicates whether spring flow has been modified from its natural course	character	NA	NA	Empty string	Not applicable or data not collected
DPL	Note for Level of data processing applied to this data [Raw, Provisional, Accepted, Certified] Status	character	NA	NA	Empty string	Not applicable or data not collected
