attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
Park	Four letter park code	character	NA	NA	Empty string	Not applicable or data not collected
SiteCode	Unique alphanumeric site code	character	NA	NA	Empty string	Not applicable or data not collected
SiteName	Descriptive name of the site	character	NA	NA	Empty string	Not applicable or data not collected
VisitDate	Date that the monitoring occured	Date	NA	YYYY-MM-DD	Empty string	Not applicable or data not collected
FieldSeason	Field Season is typically the Water Year defined as Oct. 1st - Sept. 30th	character	NA	NA	Empty string	Not applicable or data not collected
InvasivesObserved	Indicates whether invasive species were observed at a spring	character	NA	NA	Empty string	Not applicable or data not collected
InRiparianVegBuffer	Indicates whether invasive species observation falls within or outside of riparian veg buffer	character	NA	NA	Empty string	Not applicable or data not collected
USDAPlantsCode	USDA plant code assigned to taxon	character	NA	NA	Empty string	Not applicable or data not collected
ProtectedStatus	Protected status of data record	character	NA	NA	Empty string	Not applicable or data not collected
DPL	Level of data processing applied to this data [Raw, Provisional, Accepted, Certified]	character	NA	NA	Empty string	Not applicable or data not collected
Notes	Additional notes about the invasive species	character	NA	NA	Empty string	Not applicable or data not collected
