attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
SensorNumber	Sensor model number	numeric	number	NA	Empty string	Not applicable or data not collected
SerialNumber	Sensor serial number	character	NA	NA	Empty string	Not applicable or data not collected
DeploymentDate	Sensor deployment date	Date	NA	YYYY-MM-DD	Empty string	Not applicable or data not collected
DeploymentFieldSeason	Field season during deployment. Field Season is typically the Water Year defined as Oct. 1st - Sept. 30th	character	NA	NA	Empty string	Not applicable or data not collected
RetrievalDate	Sensor retrieval date	Date	NA	YYYY-MM-DD	Empty string	Not applicable or data not collected
RetrievalFieldSeason	Field season during retrieval. Field Season is typically the Water Year defined as Oct. 1st - Sept. 30th	character	NA	NA	Empty string	Not applicable or data not collected
SiteName	Descriptive name of the site	character	NA	NA	Empty string	Not applicable or data not collected
SiteCode	Unique alphanumeric site code	character	NA	NA	Empty string	Not applicable or data not collected
Park	Four letter park code	character	NA	NA	Empty string	Not applicable or data not collected
SensorRetrieved	Was sensor retreived (Y/N)	character	NA	NA	Empty string	Not applicable or data not collected
SensorProblem	Problem with retrieved sensor	character	NA	NA	Empty string	Not applicable or data not collected
DownloadResult	Indicates whether sensor data were downloaded successfully	character	NA	NA	Empty string	Not applicable or data not collected
RetrievalVisitType	Purpose of sensor retrieval visit: Primary, Replicate, Training, Calibration, Auxillary, Unknown	character	NA	NA	Empty string	Not applicable or data not collected
DeploymentVisitType	Purpose of sensor deployment visit: Primary, Replicate, Training, Calibration, Auxillary, Unknown	character	NA	NA	Empty string	Not applicable or data not collected
Notes	Notes on the sensor retrieval	character	NA	NA	Empty string	Not applicable or data not collected
