attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
Park	Four letter park code	character	NA	NA	Empty string	Not applicable or data not collected
Subunit	Section of the park where site is located	character	NA	NA	Empty string	Not applicable or data not collected
SiteCode	Unique alphanumeric site code	character	NA	NA	Empty string	Not applicable or data not collected
SiteName	Descriptive name of the site	character	NA	NA	Empty string	Not applicable or data not collected
GRTSDraw	Documents the grts draw that applies to these locations.	character	NA	NA	Empty string	Not applicable or data not collected
GRTSOrder	Order that spring appears in the GRTS draw. Unique for a GRTS frame	numeric	number	NA	Empty string	Not applicable or data not collected
SiteStatus	Documents the GRTS status of this plot	character	NA	NA	Empty string	Not applicable or data not collected
SampleFrame	Time frame that spring is sampled (3Yr, Annual, Inactive)	character	NA	NA	Empty string	Not applicable or data not collected
SiteProtectedStatus	Is the location of this site protected	character	NA	NA	Empty string	Not applicable or data not collected
Lat_WGS84	Latitude in WGS84 coordinate system	numeric	degree	NA	Empty string	Not applicable or data not collected
Lon_WGS84	Longitude in WGS84 coordinate system	numeric	degree	NA	Empty string	Not applicable or data not collected
X_UTM_NAD83_11N	UTM Zone 11N X coordinate of spring	numeric	meter	NA	Empty string	Not applicable or data not collected
Y_UTM_NAD83_11N	UTM Zone 11N Y coordinate of spring	numeric	meter	NA	Empty string	Not applicable or data not collected
