attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
Park	Four letter park code	character	NA	NA	Empty string	Not applicable or data not collected
SiteCode	Unique alphanumeric site code	character	NA	NA	Empty string	Not applicable or data not collected
SiteName	Descriptive name of the site	character	NA	NA	Empty string	Not applicable or data not collected
VisitDate	Date that the monitoring occured	Date	NA	YYYY-MM-DD	Empty string	Not applicable or data not collected
FieldSeason	Field Season is typically the Water Year defined as Oct. 1st - Sept. 30th	character	NA	NA	Empty string	Not applicable or data not collected
SpringType	Hydrologic category of spring	character	NA	NA	Empty string	Not applicable or data not collected
FlowCondition	Flow condition at time of visit	character	NA	NA	Empty string	Not applicable or data not collected
WQDataCollected	Indicates whether the amount of water at the spring was sufficient for wq measurements	character	NA	NA	Empty string	Not applicable or data not collected
InvasivesObserved	Indicates whether invasive species were observed at the spring	character	NA	NA	Empty string	Not applicable or data not collected
RiparianObserved	Indicates whether ripaarian species were observed at the spring	character	NA	NA	Empty string	Not applicable or data not collected
MistletoePresent	Indicates whether mistletoe was observed at the spring	character	NA	NA	Empty string	Not applicable or data not collected
WildlifeObserved	Indicates whether evidence of wildlife was observed at the spring	character	NA	NA	Empty string	Not applicable or data not collected
SpringbrookLength_Class	Spring brook length flag	character	NA	NA	Empty string	Not applicable or data not collected
SpringbrookWidth_m	Length of springbrook in meters	numeric	meter	NA	Empty string	Not applicable or data not collected
SpringbrookLength_m	Width of springbrook in meters	numeric	meter	NA	Empty string	Not applicable or data not collected
SampleFrame	Time frame that spring is sampled (3Yr, Annual, Inactive)	character	NA	NA	Empty string	Not applicable or data not collected
VisitType	Purpose of visit: Primary, Replicate, Training, Calibration, Auxillary, Unknown	character	NA	NA	Empty string	Not applicable or data not collected
MonitoringStatus	Result of monitoring visit: Sampled or reason unable to sample	character	NA	NA	Empty string	Not applicable or data not collected
WaterQualityNotes	Additional notes on the water quality of the spring	character	NA	NA	Empty string	Not applicable or data not collected
