attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
Park	Four letter park code	character	NA	NA	Empty string	Not applicable or data not collected
SiteCode	Four letter park code	character	NA	NA	Empty string	Not applicable or data not collected
SiteName	Unique alphanumeric site code	character	NA	NA	Empty string	Not applicable or data not collected
VisitDate	Descriptive name of the site	Date	NA	YYYY-MM-DD	Empty string	Not applicable or data not collected
FieldSeason	Date that the monitoring occured	character	NA	NA	Empty string	Not applicable or data not collected
WQDataCollected	Indicates whether the amount of water at the spring was sufficient for wq measurements	character	NA	NA	Empty string	Not applicable or data not collected
DissolvedOxygen_percent	Percent measurement for Dissolved Oxygen	numeric	percent	NA	Empty string	Not applicable or data not collected
DissolvedOxygen_mg_per_L	Measured value of Dissolved Oxygen in milligrams per liter	numeric	milligramsPerLiter	NA	Empty string	Not applicable or data not collected
DataQualityFlag	Data Quality Flag: No Flag, Information, Warning, Critical	character	NA	NA	Empty string	Not applicable or data not collected
DataQualityFlagNote	Notes about data quality flag	character	NA	NA	Empty string	Not applicable or data not collected
DOInstrument	Water quality instrument used for measurement	character	NA	NA	Empty string	Not applicable or data not collected
VisitType	Purpose of visit: Primary, Replicate, Training, Calibration, Auxillary, Unknown	character	NA	NA	Empty string	Not applicable or data not collected
DPL	Level of data processing applied to this data [Raw, Provisional, Accepted, Certified]	character	NA	NA	Empty string	Not applicable or data not collected
MonitoringStatus	Result of monitoring visit: Sampled or reason unable to sample	character	NA	NA	Empty string	Not applicable or data not collected
