attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
Park	Four letter park code	character	NA	NA	Empty string	Not applicable or data not collected
SiteCode	Four letter park code	character	NA	NA	Empty string	Not applicable or data not collected
SiteName	Unique alphanumeric site code	character	NA	NA	Empty string	Not applicable or data not collected
VisitDate	Descriptive name of the site	Date	NA	YYYY-MM-DD	Empty string	Not applicable or data not collected
FieldSeason	Date that the monitoring occured	character	NA	NA	Empty string	Not applicable or data not collected
IsWildlifeObserved	Indicates whether evidence of wildlife was observed at the spring	character	NA	NA	Empty string	Not applicable or data not collected
WildlifeType	Indicates wildlife category of interest	character	NA	NA	Empty string	Not applicable or data not collected
DirectObservation	Indicates whether a direct observation was made of the specified wildilfe type	character	NA	NA	Empty string	Not applicable or data not collected
Scat	Indicates whether scat from the specified wildilfe type was found	character	NA	NA	Empty string	Not applicable or data not collected
Tracks	Indicates whether tracks from the specified wildilfe type were found	character	NA	NA	Empty string	Not applicable or data not collected
Shelter	Indicates whether shelter/burrows from the specified wildilfe type were found	character	NA	NA	Empty string	Not applicable or data not collected
Foraging	Indicates whether foraging from the specified wildlife type was found	character	NA	NA	Empty string	Not applicable or data not collected
Vocalization	Indicates whether vocalization from the specified wildilfe type was heard	character	NA	NA	Empty string	Not applicable or data not collected
OtherEvidence	Indicates whether other evidence from the specified wildilfe type was found	character	NA	NA	Empty string	Not applicable or data not collected
Notes	Notes pertaining to wildlife evidence	character	NA	NA	Empty string	Not applicable or data not collected
VisitType	Purpose of visit: Primary, Replicate, Training, Calibration, Auxillary, Unknown	character	NA	NA	Empty string	Not applicable or data not collected
DPL	Level of data processing applied to this data [Raw, Provisional, Accepted, Certified]	character	NA	NA	Empty string	Not applicable or data not collected
