attributeName	code	definition
Park	CAMO	Castle Mountains National Monument
Park	DEVA	Death Valley National Park
Park	GRBA	Great Basin National Park
Park	JOTR	Joshua Tree National Park
Park	LAKE	Lake Mead National Recreation Area
Park	MANZ	Manzanar National Historic Site
Park	MOJA	Mojave National Preserve
Park	PARA	Grand Canyon-Parashant National Monument
Park	TUSK	Tule Springs Fossil Beds National Monument
VisitType	P	Primary monitoring visit
VisitType	R	Replicate monitoring visit
VisitType	T	Training monitoring visit
VisitType	C	Crew calibration monitoring visit
VisitType	S	Supplementary monitoring for a special concern
