attributeName	code	definition
DischargeClass_L_per_s	1	0 L/s
DischargeClass_L_per_s	2	<0.1 L/s
DischargeClass_L_per_s	3	0.1 - <1.0 L/s
DischargeClass_L_per_s	4	1.0 - <10 L/s
DischargeClass_L_per_s	5	10 - <100 L/s
DischargeClass_L_per_s	6	>=100 L/s
Park	CAMO	Castle Mountains National Monument
Park	DEVA	Death Valley National Park
Park	GRBA	Great Basin National Park
Park	JOTR	Joshua Tree National Park
Park	LAKE	Lake Mead National Recreation Area
Park	MANZ	Manzanar National Historic Site
Park	MOJA	Mojave National Preserve
Park	PARA	Grand Canyon-Parashant National Monument
Park	TUSK	Tule Springs Fossil Beds National Monument
VisitType	P	Primary monitoring visit
VisitType	R	Replicate monitoring visit
VisitType	T	Training monitoring visit
VisitType	C	Crew calibration monitoring visit
VisitType	S	Supplementary monitoring for a special concern
DPL	Accepted	Data that have undergone all QA and QC procedures as defined in a published protocol and associated SOPs. Used in cases where a Quality Assurance Plan has not been developed and approved.
DPL	Provisional	Data that have undergone all planned QA procedures, have been entered into the system of record, and have passed verification procedures to ensure that data in the system of record match source data (field forms, sensor data files, etc.). Provisional data have not undergone all QC procedures
DPL	Raw	Data in their state of original collection, either in the form of paper or electronic field forms, eletronic sensor files, or digital media(photo, video, or audio). These data generally have been collected following some QA procedures, but have not undergone any QC procedures.
FlowCondition	dry	dry
FlowCondition	wet soil only	wet soil only
FlowCondition	standing water	standing water
FlowCondition	flowing	flowing
FlowCondition	flood	flood
FlowCondition	shore ice	shore ice
FlowCondition	solid ice	solid ice
