attributeName	code	definition
DownloadResult	Y	Yes
DownloadResult	N	No
DownloadResult	ND	No Data
DownloadResult	NA	Not Applicable
SensorRetrieved	Y	Yes
SensorRetrieved	N	No
SensorRetrieved	ND	No Data
SensorRetrieved	NA	Not Applicable
Park	CAMO	Castle Mountains National Monument
Park	DEVA	Death Valley National Park
Park	GRBA	Great Basin National Park
Park	JOTR	Joshua Tree National Park
Park	LAKE	Lake Mead National Recreation Area
Park	MANZ	Manzanar National Historic Site
Park	MOJA	Mojave National Preserve
Park	PARA	Grand Canyon-Parashant National Monument
Park	TUSK	Tule Springs Fossil Beds National Monument
SensorProblem	None	Sensor recovered in the correct location, no obvious problem
SensorProblem	Damaged	Sensor recovered in the correct location, but damaged or tampered with
SensorProblem	Buried	Sensor recovered in the correct location, but buried under substrate
SensorProblem	OutsideWater	Sensor recovered in the correct location, but laying outside of flowing or standing water
SensorProblem	WrongLocation	Sensor recovered, but from the wrong location
SensorProblem	Missing	Spring location found, but sensor not recovered
SensorProblem	LocationNotFound	Spring location not found
SensorNumber	111	Hygrochron iButton (111)
SensorNumber	114	Hygrochron iButton (114)
SensorNumber	88	Hygrochron iButton (88)
SensorNumber	127	Hygrochron iButton (127)
SensorNumber	118	Hygrochron iButton (118)
SensorNumber	109	Hygrochron iButton (109)
SensorNumber	110	Hygrochron iButton (110)
SensorNumber	112	Hygrochron iButton (112)
SensorNumber	113	Hygrochron iButton (113)
SensorNumber	115	Hygrochron iButton (115)
SensorNumber	116	Hygrochron iButton (116)
SensorNumber	117	Hygrochron iButton (117)
SensorNumber	119	Hygrochron iButton (119)
SensorNumber	120	Hygrochron iButton (120)
SensorNumber	121	Hygrochron iButton (121)
SensorNumber	122	Hygrochron iButton (122)
SensorNumber	123	Hygrochron iButton (123)
SensorNumber	-124	Hygrochron iButton (-124)
SensorNumber	125	Hygrochron iButton (125)
SensorNumber	126	Hygrochron iButton (126)
SensorNumber	128	Hygrochron iButton (128)
SensorNumber	129	Hygrochron iButton (129)
SensorNumber	130	Hygrochron iButton (130)
SensorNumber	-99	Hygrochron iButton (-99)
SensorNumber	73	Hygrochron iButton (73)
SensorNumber	90	Hygrochron iButton (90)
SensorNumber	58	Hygrochron iButton (58)
SensorNumber	198	Hygrochron iButton (198)
SensorNumber	89	Hygrochron iButton (89)
SensorNumber	55	Hygrochron iButton (55)
SensorNumber	63	Hygrochron iButton (63)
SensorNumber	66	Hygrochron iButton (66)
SensorNumber	96	Hygrochron iButton (96)
SensorNumber	97	Hygrochron iButton (97)
SensorNumber	57	Hygrochron iButton (57)
SensorNumber	82	Hygrochron iButton (82)
SensorNumber	59	Hygrochron iButton (59)
SensorNumber	65	Hygrochron iButton (65)
SensorNumber	86	Hygrochron iButton (86)
SensorNumber	83	Hygrochron iButton (83)
SensorNumber	199	Hygrochron iButton (199)
SensorNumber	62	Hygrochron iButton (62)
SensorNumber	87	Hygrochron iButton (87)
SensorNumber	81	Hygrochron iButton (81)
SensorNumber	153	Hygrochron iButton (153)
SensorNumber	150	Hygrochron iButton (150)
SensorNumber	78	Hygrochron iButton (78)
SensorNumber	100	Hygrochron iButton (100)
SensorNumber	141	Hygrochron iButton (141)
SensorNumber	144	Hygrochron iButton (144)
SensorNumber	146	Hygrochron iButton (146)
SensorNumber	145	Hygrochron iButton (145)
SensorNumber	137	Hygrochron iButton (137)
SensorNumber	139	Hygrochron iButton (139)
SensorNumber	140	Hygrochron iButton (140)
SensorNumber	142	Hygrochron iButton (142)
SensorNumber	148	Hygrochron iButton (148)
SensorNumber	151	Hygrochron iButton (151)
SensorNumber	149	Hygrochron iButton (149)
SensorNumber	124	Hygrochron iButton (124)
SensorNumber	152	Hygrochron iButton (152)
SensorNumber	132	Hygrochron iButton (132)
SensorNumber	133	Hygrochron iButton (133)
SensorNumber	5	Hygrochron iButton (5)
SensorNumber	131	Hygrochron iButton (131)
SensorNumber	138	Hygrochron iButton (138)
SensorNumber	135	Hygrochron iButton (135)
SensorNumber	91	Hygrochron iButton (91)
SensorNumber	136	Hygrochron iButton (136)
SensorNumber	26	Hygrochron iButton (26)
SensorNumber	93	Hygrochron iButton (93)
SensorNumber	68	Hygrochron iButton (68)
SensorNumber	155	Hygrochron iButton (155)
SensorNumber	154	Hygrochron iButton (154)
SensorNumber	147	Hygrochron iButton (147)
SensorNumber	143	Hygrochron iButton (143)
SensorNumber	201	Hygrochron iButton (201)
SensorNumber	202	Hygrochron iButton (202)
SensorNumber	203	Hygrochron iButton (203)
SensorNumber	204	Hygrochron iButton (204)
SensorNumber	205	Hygrochron iButton (205)
SensorNumber	206	Hygrochron iButton (206)
SensorNumber	207	Hygrochron iButton (207)
SensorNumber	208	Hygrochron iButton (208)
SensorNumber	209	Hygrochron iButton (209)
SensorNumber	210	Hygrochron iButton (210)
SensorNumber	211	Hygrochron iButton (211)
SensorNumber	212	Hygrochron iButton (212)
SensorNumber	213	Hygrochron iButton (213)
SensorNumber	214	Hygrochron iButton (214)
SensorNumber	215	Hygrochron iButton (215)
SensorNumber	216	Hygrochron iButton (216)
SensorNumber	217	Hygrochron iButton (217)
SensorNumber	218	Hygrochron iButton (218)
SensorNumber	219	Hygrochron iButton (219)
SensorNumber	220	Hygrochron iButton (220)
SensorNumber	221	Hygrochron iButton (221)
SensorNumber	222	Hygrochron iButton (222)
SensorNumber	223	Hygrochron iButton (223)
SensorNumber	224	Hygrochron iButton (224)
SensorNumber	225	Hygrochron iButton (225)
SensorNumber	226	Hygrochron iButton (226)
SensorNumber	227	Hygrochron iButton (227)
SensorNumber	228	Hygrochron iButton (228)
SensorNumber	229	Hygrochron iButton (229)
SensorNumber	230	Hygrochron iButton (230)
SensorNumber	79	Hygrochron iButton (79)
SensorNumber	236	Hygrochron iButton (236)
SensorNumber	34	Hygrochron iButton (34)
SensorNumber	238	Hygrochron iButton (238)
SensorNumber	11	Hygrochron iButton (11)
SensorNumber	233	Hygrochron iButton (233)
SensorNumber	231	Hygrochron iButton (231)
SensorNumber	232	Hygrochron iButton (232)
SensorNumber	234	Hygrochron iButton (234)
SensorNumber	235	Hygrochron iButton (235)
SensorNumber	237	Hygrochron iButton (237)
SensorNumber	259	Hygrochron iButton (259)
SensorNumber	261	Hygrochron iButton (261)
SensorNumber	260	Hygrochron iButton (260)
SensorNumber	269	Hygrochron iButton (269)
SensorNumber	267	Hygrochron iButton (267)
SensorNumber	271	Hygrochron iButton (271)
